system:index,ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE,mean_LST_Celsius,.geo
000600000000000035b9,386232,0,101,S,42101000200,+39.9554162,-075.1569255,G5020,2,Census Tract 2,42,000200,28.463886101430457,"{""type"":""Polygon"",""coordinates"":[[[-75.16309343017059,39.954401612726336],[-75.16203213571444,39.9542722613572],[-75.16100654937642,39.954138508865306],[-75.1594369395423,39.95395119444815],[-75.15902224570416,39.95390216395383],[-75.15849603897598,39.95383084145499],[-75.15786286067174,39.95374609891173],[-75.15628885511337,39.95354543769205],[-75.15560213770345,39.95346075153642],[-75.15471919819034,39.95334923186825],[-75.1531451611779,39.95315304547637],[-75.15223103320326,39.953037129272445],[-75.15153984453926,39.952947923714895],[-75.15142841680432,39.95345179122233],[-75.15132135347072,39.953951239793625],[-75.15112512988408,39.95484749287819],[-75.15166917543246,39.9549143554438],[-75.15154875162898,39.95543612403086],[-75.1514818593729,39.955694754487645],[-75.15132135347072,39.95652855499596],[-75.15132135347072,39.956582072194344],[-75.15125000756487,39.95678721239179],[-75.1512232862435,39.95686300361788],[-75.15120101847222,39.95692097476678],[-75.15116975451603,39.956987892384156],[-75.15110286209891,39.95713948217657],[-75.15097798430138,39.95728664705783],[-75.15087991686026,39.95742036621929],[-75.15149085553682,39.957255444021],[-75.15163354709783,39.957215259681334],[-75.15168253605589,39.957201871932824],[-75.1520616210048,39.957099382000834],[-75.15228901809364,39.95704134572194],[-75.15247624412231,39.956987880463316],[-75.1525610390915,39.95696114699121],[-75.15277062141917,39.95691205531697],[-75.15289095521766,39.9568852822511],[-75.15322541321953,39.95684067783122],[-75.15334583574017,39.95682288638856],[-75.15378281195315,39.956787210873465],[-75.15384524975161,39.95678278400616],[-75.15394776882201,39.95678274380789],[-75.15424650776531,39.95677825171251],[-75.1544516343857,39.95677825864183],[-75.1555397006022,39.956920993812275],[-75.15595885704347,39.95697897846224],[-75.15714052304634,39.95713950675012],[-75.15757748871901,39.9572018787662],[-75.15789857666306,39.957246525824196],[-75.15828201092178,39.95729999496588],[-75.15867443999872,39.957357933029684],[-75.15872796917274,39.95736690908912],[-75.15881712504445,39.9573757786659],[-75.16027968383025,39.9575675463189],[-75.16078807145688,39.95762994369535],[-75.16127855529784,39.957692380560744],[-75.16158173357627,39.957732534242076],[-75.16175122458574,39.957754868795],[-75.16233985484317,39.957826190455656],[-75.16236212103749,39.95771914488617],[-75.16237548075259,39.95764337044135],[-75.16268765243838,39.956225352381665],[-75.16288386159995,39.955329066156516],[-75.16309343017059,39.954401612726336]]]}"
000600000000000035ba,546267,22673,101,S,42101000300,+39.9568348,-075.1713009,G5020,3,Census Tract 3,42,000300,22.640447487987316,"{""type"":""Polygon"",""coordinates"":[[[-75.16309343017059,39.954401612726336],[-75.16288386159995,39.955329066156516],[-75.16268765243838,39.956225352381665],[-75.16237548075259,39.95764337044135],[-75.16236212103749,39.95771914488617],[-75.16233985484317,39.957826190455656],[-75.16241119571866,39.957835110703456],[-75.16246908779108,39.95784404053088],[-75.16412345607742,39.95804466938505],[-75.16565739394414,39.95823194843836],[-75.16711997812563,39.958405840197074],[-75.16723148380203,39.95843264461308],[-75.16882782315868,39.95862878119077],[-75.17040188123174,39.95881608661238],[-75.17191349292405,39.95899446448567],[-75.17200264131186,39.959007846116286],[-75.17218993291469,39.95903010751887],[-75.17267601725835,39.95910150440466],[-75.1732512477744,39.959168337796534],[-75.17388890601462,39.959244146309246],[-75.17429465479681,39.9592977071205],[-75.17548081384103,39.959449269686445],[-75.17713513404952,39.959663344324355],[-75.17742492327142,39.959703473560126],[-75.17820086823394,39.959806012967505],[-75.17907931202159,39.95991300411454],[-75.17923978956208,39.95993084063938],[-75.17941371425808,39.95995318877368],[-75.17993539813325,39.96002896064753],[-75.17991313443217,39.95997100860131],[-75.17989532346901,39.95992644110789],[-75.1791238396575,39.95800452454062],[-75.17932902284035,39.95738026232116],[-75.17960990250842,39.95650629538286],[-75.17972139930747,39.95616295746946],[-75.17965006630061,39.95614507826887],[-75.17949395287765,39.95610051369628],[-75.1791238396575,39.95598459740699],[-75.17886967574174,39.95589980913183],[-75.17883850634738,39.95588647088845],[-75.17853527234455,39.955766075215095],[-75.17822758496675,39.95565460677787],[-75.17790208579537,39.95557432609409],[-75.17757213314115,39.95549852513871],[-75.1775275160083,39.955489569037645],[-75.1774962572909,39.95563226132429],[-75.17737594234036,39.95617634406818],[-75.17678727940834,39.956104947343526],[-75.17623432608745,39.95603359907323],[-75.17575724754518,39.955971213341506],[-75.17462906723806,39.955841857310276],[-75.17278306604484,39.95560553177256],[-75.17113315292588,39.95539595808332],[-75.16956800825506,39.95520423294298],[-75.16798948874158,39.95500805827682],[-75.16636642211388,39.95481625141975],[-75.16484139750804,39.95462010473096],[-75.16321375607016,39.95442389758927],[-75.16315141105598,39.954410477014],[-75.16309343017059,39.954401612726336]]]}"
00060000000000003a31,428760,0,101,S,42101000500,+39.9519533,-075.1581771,G5020,5,Census Tract 5,42,000500,29.232097710719668,"{""type"":""Polygon"",""coordinates"":[[[-75.16530069661293,39.952283533218825],[-75.16524271652077,39.951998158799114],[-75.16518028324857,39.95188220503546],[-75.16505541662977,39.95181086769779],[-75.1648948355183,39.95175734127031],[-75.16471653061986,39.9517216708926],[-75.16453368327853,39.951694916441646],[-75.1643597420885,39.95166817271861],[-75.1641947961431,39.95164137470138],[-75.16399413542634,39.95162356883837],[-75.16391834207516,39.951565606871505],[-75.16387817425613,39.95152103178171],[-75.16386926786471,39.95149425887011],[-75.16393615485194,39.95119993459744],[-75.16401194819451,39.95087441014544],[-75.16393615485194,39.95086552429324],[-75.16385590827663,39.95085659450098],[-75.1628035254227,39.950713923322816],[-75.16178239737368,39.95059349169761],[-75.16020834198724,39.95039288502432],[-75.15863427083951,39.95020107217973],[-75.1582151215284,39.95015207245629],[-75.1570602730018,39.950004952163205],[-75.15622196487227,39.949897889419006],[-75.15549062377627,39.94980868682188],[-75.1548262592124,39.94972844808616],[-75.15460777270648,39.949701704836706],[-75.153916594481,39.94961696520789],[-75.15233800684767,39.94942079212008],[-75.15221321910053,39.949969263756856],[-75.15202590368838,39.95085662267576],[-75.15199918249873,39.95093686955716],[-75.15195901163506,39.95104388582335],[-75.15173606760895,39.95207395288175],[-75.15153984453926,39.952947923714895],[-75.15223103320326,39.953037129272445],[-75.1531451611779,39.95315304547637],[-75.15471919819034,39.95334923186825],[-75.15560213770345,39.95346075153642],[-75.15628885511337,39.95354543769205],[-75.15786286067174,39.95374609891173],[-75.15849603897598,39.95383084145499],[-75.15902224570416,39.95390216395383],[-75.1594369395423,39.95395119444815],[-75.16100654937642,39.954138508865306],[-75.16203213571444,39.9542722613572],[-75.16309343017059,39.954401612726336],[-75.1631914899965,39.9539155333522],[-75.16332081130825,39.9533537034302],[-75.16340105815685,39.9533670812605],[-75.16391834207516,39.953433995900255],[-75.16506432295395,39.95360787837699],[-75.16522481482899,39.952577831557775],[-75.16530069661293,39.952283533218825]]]}"
00060000000000003280,172652,0,101,S,42101000600,+39.9493845,-075.1583355,G5020,6,Census Tract 6,42,000600,29.959455328981967,"{""type"":""Polygon"",""coordinates"":[[[-75.16433747617725,39.949344925301354],[-75.16426613617637,39.94934053134734],[-75.16419034295642,39.94933601680907],[-75.1636819663362,39.949269193077654],[-75.16313796234253,39.949206693357425],[-75.16211238322114,39.94908185179804],[-75.16132763031737,39.94897935912266],[-75.16053833113939,39.94888125238182],[-75.15974911706437,39.94878315107199],[-75.15896426329557,39.94868055169508],[-75.15858083070049,39.948635982683896],[-75.15739017969328,39.94848879842046],[-75.15702010343028,39.94844420255128],[-75.15676590373094,39.94840858743567],[-75.15664557289608,39.94839519016507],[-75.15643599573,39.948368462891615],[-75.15611935821549,39.94832385725534],[-75.15581616940453,39.948288136851176],[-75.15424650776531,39.948091931013224],[-75.153171882173,39.94796267698738],[-75.15267246602463,39.947900192296615],[-75.15251641485395,39.94861368457928],[-75.15244506948979,39.9489302740903],[-75.15233800684767,39.94942079212008],[-75.153916594481,39.94961696520789],[-75.15460777270648,39.949701704836706],[-75.1548262592124,39.94972844808616],[-75.15549062377627,39.94980868682188],[-75.15622196487227,39.949897889419006],[-75.1570602730018,39.950004952163205],[-75.1582151215284,39.95015207245629],[-75.15863427083951,39.95020107217973],[-75.16020834198724,39.95039288502432],[-75.16178239737368,39.95059349169761],[-75.1628035254227,39.950713923322816],[-75.16385590827663,39.95085659450098],[-75.16393615485194,39.95086552429324],[-75.16401194819451,39.95087441014544],[-75.16417253020846,39.95011195740895],[-75.16425277662204,39.949773050687085],[-75.16426168299172,39.9497374037816],[-75.16433747617725,39.949344925301354]]]}"
00060000000000003389,315833,0,101,S,42101001400,+39.9429436,-075.1715930,G5020,14,Census Tract 14,42,001400,34.53195623282619,"{""type"":""Polygon"",""coordinates"":[[[-75.1775988499811,39.942228259299554],[-75.17567700701308,39.94198741723033],[-75.1751686675939,39.94193392339353],[-75.17487878514464,39.94188933112387],[-75.17410291280117,39.94179123669159],[-75.17352323248603,39.94171992696412],[-75.17300598021359,39.9416619638817],[-75.17252443890162,39.94159507648808],[-75.17095476605178,39.94140333847425],[-75.17031264287432,39.94133192738137],[-75.16938516656269,39.941211587596335],[-75.16896159288099,39.94115362020494],[-75.16884563537863,39.941144642282396],[-75.1684130650461,39.9410911756489],[-75.16780664521077,39.94101090510809],[-75.16690596181719,39.9409038538181],[-75.16679890902249,39.94089051242839],[-75.16620584234275,39.94081473476472],[-75.16598737165283,39.94181802880801],[-75.16584469311731,39.94241106080025],[-75.16582233835375,39.94253146922195],[-75.16577780694274,39.942785653063694],[-75.16567075337902,39.9432003314342],[-75.16557714824812,39.94366407866268],[-75.16718241062672,39.94384688598158],[-75.16876093825479,39.94405203035666],[-75.17033054398601,39.94424371860304],[-75.17190458698842,39.94444439879082],[-75.17347861420123,39.9446406062445],[-75.1750527146785,39.94483235254826],[-75.17698347094576,39.94508204089235],[-75.17708606397153,39.94462274762498],[-75.17717075660107,39.944208055258],[-75.1772688966887,39.943717573640306],[-75.17737594234036,39.94323154562209],[-75.17746063481331,39.942861402852344],[-75.1775052519652,39.94266075033956],[-75.17755423285585,39.9424868955037],[-75.1775988499811,39.942228259299554]]]}"
00060000000000003281,239383,0,101,S,42101001500,+39.9419037,-075.1591158,G5020,15,Census Tract 15,42,001500,36.794917964219174,"{""type"":""Polygon"",""coordinates"":[[[-75.15277062141917,39.94003879066111],[-75.15270818319433,39.94034646578184],[-75.15254758947233,39.94114911037873],[-75.1524361624508,39.94158168256114],[-75.15233355332522,39.94201417486317],[-75.153916594481,39.9422059334973],[-75.15548617034304,39.942406572658584],[-75.15627095240183,39.94250473572389],[-75.15667229329667,39.94254926918809],[-75.157055819613,39.94259385474502],[-75.15757303534485,39.94266523414857],[-75.15804126241281,39.94273213841531],[-75.1586298174953,39.942799013805114],[-75.15910249474746,39.942861432389655],[-75.1597758369376,39.94294618579348],[-75.1602038886876,39.942995187027606],[-75.16137661625623,39.94313792635279],[-75.16178239737368,39.9431869314335],[-75.16335198378482,39.94337871684468],[-75.16413236245442,39.94347678645828],[-75.16437319069736,39.94351692892364],[-75.16542102082194,39.9436462550793],[-75.16549236029834,39.943655172210796],[-75.16557714824812,39.94366407866268],[-75.16567075337902,39.9432003314342],[-75.16577780694274,39.942785653063694],[-75.16582233835375,39.94253146922195],[-75.16584469311731,39.94241106080025],[-75.16598737165283,39.94181802880801],[-75.16590712612539,39.94180910149202],[-75.16583124463443,39.941804654437284],[-75.16572428017,39.94178679846534],[-75.1652114553562,39.9417243901436],[-75.16477005773599,39.94167083164872],[-75.16457830410576,39.94164406752914],[-75.16455149598553,39.94164410027881],[-75.16375784886537,39.941545992212355],[-75.16328963882549,39.94148801150783],[-75.1630399024832,39.94145682883226],[-75.16287041286361,39.94143894689098],[-75.16217927095623,39.9413498217734],[-75.16171105621275,39.94129183373048],[-75.16142569124514,39.94125615467541],[-75.16113141921281,39.94122491196523],[-75.1605338778491,39.94114468495712],[-75.16011028030003,39.94108668007661],[-75.15983381904688,39.941055532615444],[-75.15953945496813,39.941019825400105],[-75.15903115237026,39.94095736448589],[-75.15866107996908,39.940912777440374],[-75.15824638408463,39.940859300955154],[-75.15788966993281,39.940814689741245],[-75.15745261605997,39.94076120827941],[-75.15697102706623,39.94070321942627],[-75.15673027655035,39.940672044181795],[-75.1563869191837,39.9406274065159],[-75.15588751324019,39.94056056972074],[-75.15434020871237,39.940301873389785],[-75.15390323404725,39.94023059531692],[-75.153368103208,39.94013692155399],[-75.15328785123914,39.94012353596748],[-75.15277062141917,39.94003879066111]]]}"
00060000000000003249,196389,0,101,S,42101001600,+39.9402546,-075.1483127,G5020,16,Census Tract 16,42,001600,33.35231774182564,"{""type"":""Polygon"",""coordinates"":[[[-75.15277062141917,39.94003879066111],[-75.15248969374757,39.93998533773274],[-75.15214187359894,39.939936269854755],[-75.15200808956244,39.93990953236477],[-75.15155774778908,39.93982476664018],[-75.15177178499115,39.93954830065255],[-75.15129017860947,39.93945914721509],[-75.14972946809391,39.939182684674144],[-75.14815538118697,39.93889732160821],[-75.14624689550664,39.93856728607074],[-75.14622908072694,39.93862976662616],[-75.14512767806002,39.93845139125713],[-75.14464614043561,39.938371114305525],[-75.14457924524781,39.93866539624798],[-75.14453016500542,39.938875032784665],[-75.14445881602323,39.93918268857173],[-75.14435629077505,39.93961074341592],[-75.14425367638515,39.94009676193343],[-75.14406198682501,39.9409707800323],[-75.14502960697617,39.94110010441991],[-75.14555131593713,39.94116698869617],[-75.14566720154151,39.94118035384134],[-75.14578762984256,39.94119822311748],[-75.14674187835497,39.94130968180986],[-75.14760250525846,39.94142118198371],[-75.14809748384707,39.94148801604331],[-75.14918096223103,39.94162176670629],[-75.14961803907764,39.9416752848483],[-75.14967148226074,39.94167972917779],[-75.15040721490439,39.94177337301832],[-75.15075503888589,39.94181799927623],[-75.15118756873686,39.94187597935581],[-75.1515622013335,39.94192057382739],[-75.15233355332522,39.94201417486317],[-75.1524361624508,39.94158168256114],[-75.15254758947233,39.94114911037873],[-75.15270818319433,39.94034646578184],[-75.15277062141917,39.94003879066111]]]}"
0006000000000000324a,212721,0,101,S,42101001700,+39.9377805,-075.1484848,G5020,17,Census Tract 17,42,001700,30.922747628011706,"{""type"":""Polygon"",""coordinates"":[[[-75.15277062141917,39.94003879066111],[-75.15285087365177,39.93970881957335],[-75.1529578468749,39.93919604256478],[-75.15299356397983,39.939044476204565],[-75.15303809901205,39.93886606637057],[-75.15306490909536,39.938763495459],[-75.15312734717865,39.938388933046355],[-75.1532120527271,39.93810800488152],[-75.15328785123914,39.93773794237579],[-75.15175833530455,39.937332127031425],[-75.1502288935793,39.9369219282134],[-75.14993014701064,39.93683715183017],[-75.14931920227782,39.93665878487175],[-75.14869498337137,39.93648489437527],[-75.14828471486017,39.93637788796484],[-75.14781209418669,39.93625307756426],[-75.14707634941891,39.936056874189305],[-75.14698264414851,39.93603007001018],[-75.14690238892487,39.93600778255147],[-75.14680877262457,39.93598106653287],[-75.14635396229019,39.935860645524606],[-75.14616663990817,39.93580712404436],[-75.14573854997656,39.93569563409656],[-75.14525701421898,39.93556635081489],[-75.14488690943175,39.935463808021744],[-75.14486009795613,39.9355797252991],[-75.14451680377525,39.936551825425134],[-75.144106524383,39.93784494692891],[-75.1439995451475,39.93828193926549],[-75.14387911547993,39.93878581211249],[-75.14400399890563,39.938803651343726],[-75.14412888223238,39.93881704223107],[-75.14453016500542,39.938875032784665],[-75.14457924524781,39.93866539624798],[-75.14464614043561,39.938371114305525],[-75.14512767806002,39.93845139125713],[-75.14622908072694,39.93862976662616],[-75.14624689550664,39.93856728607074],[-75.14815538118697,39.93889732160821],[-75.14972946809391,39.939182684674144],[-75.15129017860947,39.93945914721509],[-75.15177178499115,39.93954830065255],[-75.15155774778908,39.93982476664018],[-75.15200808956244,39.93990953236477],[-75.15214187359894,39.939936269854755],[-75.15248969374757,39.93998533773274],[-75.15277062141917,39.94003879066111]]]}"
00060000000000003252,242440,0,101,S,42101001800,+39.9400001,-075.1593102,G5020,18,Census Tract 18,42,001800,34.658886921518196,"{""type"":""Polygon"",""coordinates"":[[[-75.15277062141917,39.94003879066111],[-75.15328785123914,39.94012353596748],[-75.153368103208,39.94013692155399],[-75.15390323404725,39.94023059531692],[-75.15434020871237,39.940301873389785],[-75.15588751324019,39.94056056972074],[-75.1563869191837,39.9406274065159],[-75.15673027655035,39.940672044181795],[-75.15697102706623,39.94070321942627],[-75.15745261605997,39.94076120827941],[-75.15788966993281,39.940814689741245],[-75.15824638408463,39.940859300955154],[-75.15866107996908,39.940912777440374],[-75.15903115237026,39.94095736448589],[-75.15953945496813,39.941019825400105],[-75.15983381904688,39.941055532615444],[-75.16011028030003,39.94108668007661],[-75.1605338778491,39.94114468495712],[-75.16113141921281,39.94122491196523],[-75.16142569124514,39.94125615467541],[-75.16171105621275,39.94129183373048],[-75.16217927095623,39.9413498217734],[-75.16287041286361,39.94143894689098],[-75.1630399024832,39.94145682883226],[-75.16328963882549,39.94148801150783],[-75.16375784886537,39.941545992212355],[-75.16455149598553,39.94164410027881],[-75.16457830410576,39.94164406752914],[-75.16477005773599,39.94167083164872],[-75.1652114553562,39.9417243901436],[-75.16572428017,39.94178679846534],[-75.16583124463443,39.941804654437284],[-75.16590712612539,39.94180910149202],[-75.16598737165283,39.94181802880801],[-75.16620584234275,39.94081473476472],[-75.16627718146268,39.940440172853876],[-75.16636187992627,39.94002992210214],[-75.16629054084481,39.94002990261172],[-75.16622365486012,39.94003437509882],[-75.16413681564273,39.93975786471755],[-75.16257169030396,39.93956614086814],[-75.16092184802581,39.93936549438657],[-75.16021279528677,39.93928521984501],[-75.15979810349515,39.93922722531597],[-75.1594146729336,39.93918266331188],[-75.15904451236845,39.93913806671757],[-75.15863427083951,39.939089008085816],[-75.15829537098364,39.93904442141275],[-75.15784950057314,39.93898204603596],[-75.15717169674848,39.9387902472288],[-75.15677935298952,39.93868323335925],[-75.15631557557457,39.93856728300171],[-75.15480835633443,39.938148159503015],[-75.15372482761315,39.93786275685986],[-75.15328785123914,39.93773794237579],[-75.1532120527271,39.93810800488152],[-75.15312734717865,39.938388933046355],[-75.15306490909536,39.938763495459],[-75.15303809901205,39.93886606637057],[-75.15299356397983,39.939044476204565],[-75.1529578468749,39.93919604256478],[-75.15285087365177,39.93970881957335],[-75.15277062141917,39.94003879066111]]]}"
00060000000000003253,328328,0,101,S,42101001900,+39.9400454,-075.1722270,G5020,19,Census Tract 19,42,001900,32.253893241204324,"{""type"":""Polygon"",""coordinates"":[[[-75.16636187992627,39.94002992210214],[-75.16627718146268,39.940440172853876],[-75.16620584234275,39.94081473476472],[-75.16679890902249,39.94089051242839],[-75.16690596181719,39.9409038538181],[-75.16780664521077,39.94101090510809],[-75.1684130650461,39.9410911756489],[-75.16884563537863,39.941144642282396],[-75.16896159288099,39.94115362020494],[-75.16938516656269,39.941211587596335],[-75.17031264287432,39.94133192738137],[-75.17095476605178,39.94140333847425],[-75.17252443890162,39.94159507648808],[-75.17300598021359,39.9416619638817],[-75.17352323248603,39.94171992696412],[-75.17410291280117,39.94179123669159],[-75.17487878514464,39.94188933112387],[-75.1751686675939,39.94193392339353],[-75.17567700701308,39.94198741723033],[-75.1775988499811,39.942228259299554],[-75.17766573111713,39.941925046778366],[-75.1776790895297,39.94185814330279],[-75.17775941809326,39.94146126909142],[-75.17787082715263,39.940970804131524],[-75.17797341959772,39.94048470867833],[-75.1780581117479,39.940132494898705],[-75.17807155918288,39.940078946482245],[-75.17824984890726,39.93926737087925],[-75.17631020254842,39.939022155311655],[-75.17474947335393,39.938825965292764],[-75.1742055077114,39.93877242943082],[-75.17373278685547,39.93871889275263],[-75.17317100596028,39.93864316535358],[-75.17268047020433,39.938585155344434],[-75.17221673973066,39.93853163309292],[-75.17160133957853,39.93844691664251],[-75.17105736302061,39.938388991854715],[-75.1705267435988,39.93832651570495],[-75.17002284051331,39.938264067310215],[-75.16895268677786,39.93814369298699],[-75.16844432557333,39.93808571846177],[-75.1668167214726,39.93786720027803],[-75.1665670798001,39.93906229409154],[-75.16646447989669,39.93953495079588],[-75.16636187992627,39.94002992210214]]]}"
